CONTENT,CLASS,content_lowercase,content_lowercase_rn,content_tokenization,content_stopword,content_steem,content_clean
Put famous people in the jungle for an hour and look what happens.﻿,0,put famous people in the jungle for an hour and look what happens.﻿,put famous people in the jungle for an hour and look what happens,"['put', 'famous', 'people', 'in', 'the', 'jungle', 'for', 'an', 'hour', 'and', 'look', 'what', 'happens']","['put', 'famous', 'people', 'jungle', 'hour', 'look', 'happens']","['put', 'famous', 'peopl', 'jungl', 'hour', 'look', 'happen']","['put', 'famous', 'peopl', 'jungl', 'hour', 'look', 'happen']"
"She kinda let herself go, huh?﻿",0,"she kinda let herself go, huh?﻿",she kinda let herself go huh,"['she', 'kinda', 'let', 'herself', 'go', 'huh']","['kinda', 'let', 'go', 'huh']","['kinda', 'let', 'go', 'huh']","['kinda', 'let', 'go', 'huh']"
we all love you Katy Perry &lt;3﻿,0,we all love you katy perry &lt;3﻿,we all love you katy perry NUM,"['we', 'all', 'love', 'you', 'katy', 'perry', 'NUM']","['love', 'katy', 'perry', 'NUM']","['love', 'kati', 'perri', 'num']","['love', 'kati', 'perri', 'num']"
Sign up for free on TSU and start making money on social media add/follow  me and ill add follow you!! http://tsu.co/Roberts9010﻿,1,sign up for free on tsu and start making money on social media add/follow  me and ill add follow you!! http://tsu.co/roberts9010﻿,sign up for free on tsu and start making money on social media add follow me and ill add follow you http URL,"['sign', 'up', 'for', 'free', 'on', 'tsu', 'and', 'start', 'making', 'money', 'on', 'social', 'media', 'add', 'follow', 'me', 'and', 'ill', 'add', 'follow', 'you', 'http', 'URL']","['sign', 'free', 'tsu', 'start', 'making', 'money', 'social', 'media', 'add', 'follow', 'ill', 'add', 'follow', 'http', 'URL']","['sign', 'free', 'tsu', 'start', 'make', 'money', 'social', 'media', 'add', 'follow', 'ill', 'add', 'follow', 'http', 'url']","['sign', 'free', 'tsu', 'start', 'make', 'money', 'social', 'media', 'add', 'follow', 'ill', 'add', 'follow', 'http', 'url']"
Love it when I can relate to my daughter's music. :-) Katy Perry - Roar  (Official): http://youtu.be/CevxZvSJLk8﻿,0,love it when i can relate to my daughter's music. :-) katy perry - roar  (official): http://youtu.be/cevxzvsjlk8﻿,love it when i can relate to my daughter s music katy perry roar official URL,"['love', 'it', 'when', 'i', 'can', 'relate', 'to', 'my', 'daughter', 's', 'music', 'katy', 'perry', 'roar', 'official', 'URL']","['love', 'relate', 'daughter', 'music', 'katy', 'perry', 'roar', 'official', 'URL']","['love', 'relat', 'daughter', 'music', 'kati', 'perri', 'roar', 'offici', 'url']","['love', 'relat', 'daughter', 'music', 'kati', 'perri', 'roar', 'offici', 'url']"
Subscribe me and i subscribe you back!!﻿,1,subscribe me and i subscribe you back!!﻿,subscribe me and i subscribe you back,"['subscribe', 'me', 'and', 'i', 'subscribe', 'you', 'back']","['subscribe', 'subscribe', 'back']","['subscrib', 'subscrib', 'back']","['subscrib', 'subscrib', 'back']"
Katy Perry - Roar (Official)  #soundsofsunday   #music  ﻿,0,katy perry - roar (official)  #soundsofsunday   #music  ﻿,katy perry roar official soundsofsunday music,"['katy', 'perry', 'roar', 'official', 'soundsofsunday', 'music']","['katy', 'perry', 'roar', 'official', 'soundsofsunday', 'music']","['kati', 'perri', 'roar', 'offici', 'soundsofsunday', 'music']","['kati', 'perri', 'roar', 'offici', 'soundsofsunday', 'music']"
"When I hear Katy singing this, I cry. The song has got depth.﻿",0,"when i hear katy singing this, i cry. the song has got depth.﻿",when i hear katy singing this i cry the song has got depth,"['when', 'i', 'hear', 'katy', 'singing', 'this', 'i', 'cry', 'the', 'song', 'has', 'got', 'depth']","['hear', 'katy', 'singing', 'cry', 'song', 'got', 'depth']","['hear', 'kati', 'sing', 'cri', 'song', 'got', 'depth']","['hear', 'kati', 'sing', 'cri', 'song', 'got', 'depth']"
Love it﻿,0,love it﻿,love it,"['love', 'it']",['love'],['love'],['love']
People who believe in Illuminati are stupid the same people believe that  911 was made by the American government﻿,0,people who believe in illuminati are stupid the same people believe that  911 was made by the american government﻿,people who believe in illuminati are stupid the same people believe that NUM was made by the american government,"['people', 'who', 'believe', 'in', 'illuminati', 'are', 'stupid', 'the', 'same', 'people', 'believe', 'that', 'NUM', 'was', 'made', 'by', 'the', 'american', 'government']","['people', 'believe', 'illuminati', 'stupid', 'people', 'believe', 'NUM', 'made', 'american', 'government']","['peopl', 'believ', 'illuminati', 'stupid', 'peopl', 'believ', 'num', 'made', 'american', 'govern']","['peopl', 'believ', 'illuminati', 'stupid', 'peopl', 'believ', 'num', 'made', 'american', 'govern']"
plz subscribe to my channel i need subs and if you do i will sub back i  need help﻿,1,plz subscribe to my channel i need subs and if you do i will sub back i  need help﻿,plz subscribe to my channel i need subs and if you do i will sub back i need help,"['plz', 'subscribe', 'to', 'my', 'channel', 'i', 'need', 'subs', 'and', 'if', 'you', 'do', 'i', 'will', 'sub', 'back', 'i', 'need', 'help']","['plz', 'subscribe', 'channel', 'need', 'subs', 'sub', 'back', 'need', 'help']","['plz', 'subscrib', 'channel', 'need', 'sub', 'sub', 'back', 'need', 'help']","['plz', 'subscrib', 'channel', 'need', 'sub', 'sub', 'back', 'need', 'help']"
please look up DHG SONGS this is my playlist with a bunch of amazing songs ﻿,1,please look up dhg songs this is my playlist with a bunch of amazing songs ﻿,please look up dhg songs this is my playlist with a bunch of amazing songs,"['please', 'look', 'up', 'dhg', 'songs', 'this', 'is', 'my', 'playlist', 'with', 'a', 'bunch', 'of', 'amazing', 'songs']","['please', 'look', 'dhg', 'songs', 'playlist', 'bunch', 'amazing', 'songs']","['pleas', 'look', 'dhg', 'song', 'playlist', 'bunch', 'amaz', 'song']","['pleas', 'look', 'dhg', 'song', 'playlist', 'bunch', 'amaz', 'song']"
Hey! I'm NERDY PEACH and I'm a new youtuber and it would mean THE ABSOLUTE  world to me if you could check 'em out! &lt;3  Hope you like them! =D﻿,1,hey! i'm nerdy peach and i'm a new youtuber and it would mean the absolute  world to me if you could check 'em out! &lt;3  hope you like them! =d﻿,hey i m nerdy peach and i m a new youtuber and it would mean the absolute world to me if you could check em out NUM hope you like them,"['hey', 'i', 'm', 'nerdy', 'peach', 'and', 'i', 'm', 'a', 'new', 'youtuber', 'and', 'it', 'would', 'mean', 'the', 'absolute', 'world', 'to', 'me', 'if', 'you', 'could', 'check', 'em', 'out', 'NUM', 'hope', 'you', 'like', 'them']","['hey', 'nerdy', 'peach', 'new', 'youtuber', 'would', 'mean', 'absolute', 'world', 'could', 'check', 'em', 'NUM', 'hope', 'like']","['hey', 'nerdi', 'peach', 'new', 'youtub', 'would', 'mean', 'absolut', 'world', 'could', 'check', 'em', 'num', 'hope', 'like']","['hey', 'nerdi', 'peach', 'new', 'youtub', 'would', 'mean', 'absolut', 'world', 'could', 'check', 'em', 'num', 'hope', 'like']"
00 : 39 Im pretty sure that tiger just wanted a hug﻿,0,00 : 39 im pretty sure that tiger just wanted a hug﻿,NUM im pretty sure that tiger just wanted a hug,"['NUM', 'im', 'pretty', 'sure', 'that', 'tiger', 'just', 'wanted', 'a', 'hug']","['NUM', 'im', 'pretty', 'sure', 'tiger', 'wanted', 'hug']","['num', 'im', 'pretti', 'sure', 'tiger', 'want', 'hug']","['num', 'im', 'pretti', 'sure', 'tiger', 'want', 'hug']"
http://vimeo.com/106865403﻿,1,http://vimeo.com/106865403﻿,http URL,"['http', 'URL']","['http', 'URL']","['http', 'url']","['http', 'url']"
this song gives me strength! love her lyrics. this video really brings the  lyrics to life. I'm getting known fast because i rap with meaning.. thumbs  up if you piss next to the water in the toilet so its quiet...﻿,1,this song gives me strength! love her lyrics. this video really brings the  lyrics to life. i'm getting known fast because i rap with meaning.. thumbs  up if you piss next to the water in the toilet so its quiet...﻿,this song gives me strength love her lyrics this video really brings the lyrics to life i m getting known fast because i rap with meaning thumbs up if you piss next to the water in the toilet so its quiet,"['this', 'song', 'gives', 'me', 'strength', 'love', 'her', 'lyrics', 'this', 'video', 'really', 'brings', 'the', 'lyrics', 'to', 'life', 'i', 'm', 'getting', 'known', 'fast', 'because', 'i', 'rap', 'with', 'meaning', 'thumbs', 'up', 'if', 'you', 'piss', 'next', 'to', 'the', 'water', 'in', 'the', 'toilet', 'so', 'its', 'quiet']","['song', 'gives', 'strength', 'love', 'lyrics', 'video', 'really', 'brings', 'lyrics', 'life', 'getting', 'known', 'fast', 'rap', 'meaning', 'thumbs', 'piss', 'next', 'water', 'toilet', 'quiet']","['song', 'give', 'strength', 'love', 'lyric', 'video', 'realli', 'bring', 'lyric', 'life', 'get', 'known', 'fast', 'rap', 'mean', 'thumb', 'piss', 'next', 'water', 'toilet', 'quiet']","['song', 'give', 'strength', 'love', 'lyric', 'video', 'realli', 'bring', 'lyric', 'life', 'get', 'known', 'fast', 'rap', 'mean', 'thumb', 'piss', 'next', 'water', 'toilet', 'quiet']"
http://minhateca.com.br/mauro-sp2013/Filmes+Series+Desenhos+Animes+Mp3+etc﻿,1,http://minhateca.com.br/mauro-sp2013/filmes+series+desenhos+animes+mp3+etc﻿,URL,['URL'],['URL'],['url'],['url']
https://www.facebook.com/antrobofficial﻿,1,https://www.facebook.com/antrobofficial﻿,URL,['URL'],['URL'],['url'],['url']
i love you katy perry because you will sing nice than shakira﻿,0,i love you katy perry because you will sing nice than shakira﻿,i love you katy perry because you will sing nice than shakira,"['i', 'love', 'you', 'katy', 'perry', 'because', 'you', 'will', 'sing', 'nice', 'than', 'shakira']","['love', 'katy', 'perry', 'sing', 'nice', 'shakira']","['love', 'kati', 'perri', 'sing', 'nice', 'shakira']","['love', 'kati', 'perri', 'sing', 'nice', 'shakira']"
http://hackfbaccountlive.com/?ref=4344749﻿,1,http://hackfbaccountlive.com/?ref=4344749﻿,http URL,"['http', 'URL']","['http', 'URL']","['http', 'url']","['http', 'url']"
 Facebook account HACK!! http://hackfbaccountlive.com/?ref=4477063﻿,1, facebook account hack!! http://hackfbaccountlive.com/?ref=4477063﻿,facebook account hack http URL,"['facebook', 'account', 'hack', 'http', 'URL']","['facebook', 'account', 'hack', 'http', 'URL']","['facebook', 'account', 'hack', 'http', 'url']","['facebook', 'account', 'hack', 'http', 'url']"
I love katty perry﻿,0,i love katty perry﻿,i love katty perry,"['i', 'love', 'katty', 'perry']","['love', 'katty', 'perry']","['love', 'katti', 'perri']","['love', 'katti', 'perri']"
The Perry you're doing a good job good job I love all of their videos and  by the way can you please describe to my channel please please please  please I'm trying to get as many comments to Skyburst lights is a cancer  and get famous please﻿,1,the perry you're doing a good job good job i love all of their videos and  by the way can you please describe to my channel please please please  please i'm trying to get as many comments to skyburst lights is a cancer  and get famous please﻿,the perry you re doing a good job good job i love all of their videos and by the way can you please describe to my channel please please please please i m trying to get as many comments to skyburst lights is a cancer and get famous please,"['the', 'perry', 'you', 're', 'doing', 'a', 'good', 'job', 'good', 'job', 'i', 'love', 'all', 'of', 'their', 'videos', 'and', 'by', 'the', 'way', 'can', 'you', 'please', 'describe', 'to', 'my', 'channel', 'please', 'please', 'please', 'please', 'i', 'm', 'trying', 'to', 'get', 'as', 'many', 'comments', 'to', 'skyburst', 'lights', 'is', 'a', 'cancer', 'and', 'get', 'famous', 'please']","['perry', 'good', 'job', 'good', 'job', 'love', 'videos', 'way', 'please', 'describe', 'channel', 'please', 'please', 'please', 'please', 'trying', 'get', 'many', 'comments', 'skyburst', 'lights', 'cancer', 'get', 'famous', 'please']","['perri', 'good', 'job', 'good', 'job', 'love', 'video', 'way', 'pleas', 'describ', 'channel', 'pleas', 'pleas', 'pleas', 'pleas', 'tri', 'get', 'mani', 'comment', 'skyburst', 'light', 'cancer', 'get', 'famous', 'pleas']","['perri', 'good', 'job', 'good', 'job', 'love', 'video', 'way', 'pleas', 'describ', 'channel', 'pleas', 'pleas', 'pleas', 'pleas', 'tri', 'get', 'mani', 'comment', 'skyburst', 'light', 'cancer', 'get', 'famous', 'pleas']"
I did a cover if u want to check it out THANK U.....Michael Age 8﻿,1,i did a cover if u want to check it out thank u.....michael age 8﻿,i did a cover if u want to check it out thank u michael age NUM,"['i', 'did', 'a', 'cover', 'if', 'u', 'want', 'to', 'check', 'it', 'out', 'thank', 'u', 'michael', 'age', 'NUM']","['cover', 'u', 'want', 'check', 'thank', 'u', 'michael', 'age', 'NUM']","['cover', 'u', 'want', 'check', 'thank', 'u', 'michael', 'age', 'num']","['cover', 'u', 'want', 'check', 'thank', 'u', 'michael', 'age', 'num']"
EVERYBODY PLEASE VOTE KATY AT EMA 2014 !!!!!  Best song  Best female Best pop Best live Best look  Best video  PLEASE VOTE KATY !!!!! PLEASE PLEASE PLEASE !!!!! VOTE VOTE VOTE !!!!! KATY KATY KATY !!!!!﻿,1,everybody please vote katy at ema 2014 !!!!!  best song  best female best pop best live best look  best video  please vote katy !!!!! please please please !!!!! vote vote vote !!!!! katy katy katy !!!!!﻿,everybody please vote katy at ema NUM best song best female best pop best live best look best video please vote katy please please please vote vote vote katy katy katy,"['everybody', 'please', 'vote', 'katy', 'at', 'ema', 'NUM', 'best', 'song', 'best', 'female', 'best', 'pop', 'best', 'live', 'best', 'look', 'best', 'video', 'please', 'vote', 'katy', 'please', 'please', 'please', 'vote', 'vote', 'vote', 'katy', 'katy', 'katy']","['everybody', 'please', 'vote', 'katy', 'ema', 'NUM', 'best', 'song', 'best', 'female', 'best', 'pop', 'best', 'live', 'best', 'look', 'best', 'video', 'please', 'vote', 'katy', 'please', 'please', 'please', 'vote', 'vote', 'vote', 'katy', 'katy', 'katy']","['everybodi', 'pleas', 'vote', 'kati', 'ema', 'num', 'best', 'song', 'best', 'femal', 'best', 'pop', 'best', 'live', 'best', 'look', 'best', 'video', 'pleas', 'vote', 'kati', 'pleas', 'pleas', 'pleas', 'vote', 'vote', 'vote', 'kati', 'kati', 'kati']","['everybodi', 'pleas', 'vote', 'kati', 'ema', 'num', 'best', 'song', 'best', 'femal', 'best', 'pop', 'best', 'live', 'best', 'look', 'best', 'video', 'pleas', 'vote', 'kati', 'pleas', 'pleas', 'pleas', 'vote', 'vote', 'vote', 'kati', 'kati', 'kati']"
Οh my god ... Roar is the most liked video at Vevo .. while 2 months ago  was Justin's Baby.. congrats Katy . Applause &lt;3 ﻿,0,οh my god ... roar is the most liked video at vevo .. while 2 months ago  was justin's baby.. congrats katy . applause &lt;3 ﻿,h my god roar is the most liked video at vevo while NUM months ago was justin s baby congrats katy applause NUM,"['h', 'my', 'god', 'roar', 'is', 'the', 'most', 'liked', 'video', 'at', 'vevo', 'while', 'NUM', 'months', 'ago', 'was', 'justin', 's', 'baby', 'congrats', 'katy', 'applause', 'NUM']","['h', 'god', 'roar', 'liked', 'video', 'vevo', 'NUM', 'months', 'ago', 'justin', 'baby', 'congrats', 'katy', 'applause', 'NUM']","['h', 'god', 'roar', 'like', 'video', 'vevo', 'num', 'month', 'ago', 'justin', 'babi', 'congrat', 'kati', 'applaus', 'num']","['h', 'god', 'roar', 'like', 'video', 'vevo', 'num', 'month', 'ago', 'justin', 'babi', 'congrat', 'kati', 'applaus', 'num']"
https://soundcloud.com/j-supt-fils-du-son/fucking-hostile﻿,1,https://soundcloud.com/j-supt-fils-du-son/fucking-hostile﻿,https URL,"['https', 'URL']","['https', 'URL']","['https', 'url']","['https', 'url']"
https://www.facebook.com/myfunnyriddles﻿,1,https://www.facebook.com/myfunnyriddles﻿,URL,['URL'],['URL'],['url'],['url']
Hi everyone! Do you like music? Then why not check out my music channel.  The LEXIS band will be uploading their own songs and covers soon so don't  miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one  click. -&gt;﻿,1,hi everyone! do you like music? then why not check out my music channel.  the lexis band will be uploading their own songs and covers soon so don't  miss out. please subscribe too as it does help us out a lot. just takes one  click. -&gt;﻿,hi everyone do you like music then why not check out my music channel the lexis band will be uploading their own songs and covers soon so don t miss out please subscribe too as it does help us out a lot just takes one click,"['hi', 'everyone', 'do', 'you', 'like', 'music', 'then', 'why', 'not', 'check', 'out', 'my', 'music', 'channel', 'the', 'lexis', 'band', 'will', 'be', 'uploading', 'their', 'own', 'songs', 'and', 'covers', 'soon', 'so', 'don', 't', 'miss', 'out', 'please', 'subscribe', 'too', 'as', 'it', 'does', 'help', 'us', 'out', 'a', 'lot', 'just', 'takes', 'one', 'click']","['hi', 'everyone', 'like', 'music', 'check', 'music', 'channel', 'lexis', 'band', 'uploading', 'songs', 'covers', 'soon', 'miss', 'please', 'subscribe', 'help', 'us', 'lot', 'takes', 'one', 'click']","['hi', 'everyon', 'like', 'music', 'check', 'music', 'channel', 'lexi', 'band', 'upload', 'song', 'cover', 'soon', 'miss', 'pleas', 'subscrib', 'help', 'us', 'lot', 'take', 'one', 'click']","['hi', 'everyon', 'like', 'music', 'check', 'music', 'channel', 'lexi', 'band', 'upload', 'song', 'cover', 'soon', 'miss', 'pleas', 'subscrib', 'help', 'us', 'lot', 'take', 'one', 'click']"
https://www.facebook.com/photo.php?fbid=313454548839369&amp;set=a.207230212795137.1073741825.100005244783212&amp;type=1&amp;theater  1111111111111111111﻿,1,https://www.facebook.com/photo.php?fbid=313454548839369&amp;set=a.207230212795137.1073741825.100005244783212&amp;type=1&amp;theater  1111111111111111111﻿,URL NUM,"['URL', 'NUM']","['URL', 'NUM']","['url', 'num']","['url', 'num']"
I'd rather hear some propa explicit gangsta rap insted of this garbage.  This song is trash !﻿,0,i'd rather hear some propa explicit gangsta rap insted of this garbage.  this song is trash !﻿,i d rather hear some propa e licit gangsta rap insted of this garbage this song is trash,"['i', 'd', 'rather', 'hear', 'some', 'propa', 'e', 'licit', 'gangsta', 'rap', 'insted', 'of', 'this', 'garbage', 'this', 'song', 'is', 'trash']","['rather', 'hear', 'propa', 'e', 'licit', 'gangsta', 'rap', 'insted', 'garbage', 'song', 'trash']","['rather', 'hear', 'propa', 'e', 'licit', 'gangsta', 'rap', 'inst', 'garbag', 'song', 'trash']","['rather', 'hear', 'propa', 'e', 'licit', 'gangsta', 'rap', 'inst', 'garbag', 'song', 'trash']"
"DAMNNNNNNNN, she is sexy O_O﻿",0,"damnnnnnnnn, she is sexy o_o﻿",damnn she is sexy o o,"['damnn', 'she', 'is', 'sexy', 'o', 'o']","['damnn', 'sexy']","['damnn', 'sexi']","['damnn', 'sexi']"
Such a good song ans Katy sounds great over the melody. Im growing as an  artist everyday from my hit song 'CRAZY' which has got my name out there.  cant thank my fans more for their support. If you could take a moment? to  check it and my music? maybe you'll join me to make my dream come true :)  thank you for your time﻿,1,such a good song ans katy sounds great over the melody. im growing as an  artist everyday from my hit song 'crazy' which has got my name out there.  cant thank my fans more for their support. if you could take a moment? to  check it and my music? maybe you'll join me to make my dream come true :)  thank you for your time﻿,such a good song ans katy sounds great over the melody im growing as an artist everyday from my hit song crazy which has got my name out there cant thank my fans more for their support if you could take a moment to check it and my music maybe you ll join me to make my dream come true thank you for your time,"['such', 'a', 'good', 'song', 'ans', 'katy', 'sounds', 'great', 'over', 'the', 'melody', 'im', 'growing', 'as', 'an', 'artist', 'everyday', 'from', 'my', 'hit', 'song', 'crazy', 'which', 'has', 'got', 'my', 'name', 'out', 'there', 'cant', 'thank', 'my', 'fans', 'more', 'for', 'their', 'support', 'if', 'you', 'could', 'take', 'a', 'moment', 'to', 'check', 'it', 'and', 'my', 'music', 'maybe', 'you', 'll', 'join', 'me', 'to', 'make', 'my', 'dream', 'come', 'true', 'thank', 'you', 'for', 'your', 'time']","['good', 'song', 'ans', 'katy', 'sounds', 'great', 'melody', 'im', 'growing', 'artist', 'everyday', 'hit', 'song', 'crazy', 'got', 'name', 'cant', 'thank', 'fans', 'support', 'could', 'take', 'moment', 'check', 'music', 'maybe', 'join', 'make', 'dream', 'come', 'true', 'thank', 'time']","['good', 'song', 'an', 'kati', 'sound', 'great', 'melodi', 'im', 'grow', 'artist', 'everyday', 'hit', 'song', 'crazi', 'got', 'name', 'cant', 'thank', 'fan', 'support', 'could', 'take', 'moment', 'check', 'music', 'mayb', 'join', 'make', 'dream', 'come', 'true', 'thank', 'time']","['good', 'song', 'an', 'kati', 'sound', 'great', 'melodi', 'im', 'grow', 'artist', 'everyday', 'hit', 'song', 'crazi', 'got', 'name', 'cant', 'thank', 'fan', 'support', 'could', 'take', 'moment', 'check', 'music', 'mayb', 'join', 'make', 'dream', 'come', 'true', 'thank', 'time']"
I LOVE YOU!!! Because u make me smile when im sad you cheer me up with your  beautiful songs (: &lt;3﻿,0,i love you!!! because u make me smile when im sad you cheer me up with your  beautiful songs (: &lt;3﻿,i love you because u make me smile when im sad you cheer me up with your beautiful songs NUM,"['i', 'love', 'you', 'because', 'u', 'make', 'me', 'smile', 'when', 'im', 'sad', 'you', 'cheer', 'me', 'up', 'with', 'your', 'beautiful', 'songs', 'NUM']","['love', 'u', 'make', 'smile', 'im', 'sad', 'cheer', 'beautiful', 'songs', 'NUM']","['love', 'u', 'make', 'smile', 'im', 'sad', 'cheer', 'beauti', 'song', 'num']","['love', 'u', 'make', 'smile', 'im', 'sad', 'cheer', 'beauti', 'song', 'num']"
"This song is the most boring, asinine song I have ever heard. Coming from a  guy who liked ""Teenage Dream"" (the song). Ever since Katy Perry's divorce  it's wave after wave of shitty but successful songs... For those of you  saying ""This is the next wave of pop music"". Stick it up your ass. Katy  Perry is like Silly Putty. ﻿",0,"this song is the most boring, asinine song i have ever heard. coming from a  guy who liked ""teenage dream"" (the song). ever since katy perry's divorce  it's wave after wave of shitty but successful songs... for those of you  saying ""this is the next wave of pop music"". stick it up your ass. katy  perry is like silly putty. ﻿",this song is the most boring asinine song i have ever URLing from a guy who liked teenage dream the song ever since katy perry s divorce it s wave after wave of shitty but successful songs for those of you saying this is the next wave of pop music stick it up your ass katy perry is like silly putty,"['this', 'song', 'is', 'the', 'most', 'boring', 'asinine', 'song', 'i', 'have', 'ever', 'URLing', 'from', 'a', 'guy', 'who', 'liked', 'teenage', 'dream', 'the', 'song', 'ever', 'since', 'katy', 'perry', 's', 'divorce', 'it', 's', 'wave', 'after', 'wave', 'of', 'shitty', 'but', 'successful', 'songs', 'for', 'those', 'of', 'you', 'saying', 'this', 'is', 'the', 'next', 'wave', 'of', 'pop', 'music', 'stick', 'it', 'up', 'your', 'ass', 'katy', 'perry', 'is', 'like', 'silly', 'putty']","['song', 'boring', 'asinine', 'song', 'ever', 'URLing', 'guy', 'liked', 'teenage', 'dream', 'song', 'ever', 'since', 'katy', 'perry', 'divorce', 'wave', 'wave', 'shitty', 'successful', 'songs', 'saying', 'next', 'wave', 'pop', 'music', 'stick', 'ass', 'katy', 'perry', 'like', 'silly', 'putty']","['song', 'bore', 'asinin', 'song', 'ever', 'url', 'guy', 'like', 'teenag', 'dream', 'song', 'ever', 'sinc', 'kati', 'perri', 'divorc', 'wave', 'wave', 'shitti', 'success', 'song', 'say', 'next', 'wave', 'pop', 'music', 'stick', 'ass', 'kati', 'perri', 'like', 'silli', 'putti']","['song', 'bore', 'asinin', 'song', 'ever', 'url', 'guy', 'like', 'teenag', 'dream', 'song', 'ever', 'sinc', 'kati', 'perri', 'divorc', 'wave', 'wave', 'shitti', 'success', 'song', 'say', 'next', 'wave', 'pop', 'music', 'stick', 'ass', 'kati', 'perri', 'like', 'silli', 'putti']"
Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8. I love this song  and video Katy Perry Rocks Wahoo! 😀😘﻿,0,katy perry - roar (official): http://youtu.be/cevxzvsjlk8. i love this song  and video katy perry rocks wahoo! 😀😘﻿,katy perry roar official URL i love this song and video katy perry rocks wahoo,"['katy', 'perry', 'roar', 'official', 'URL', 'i', 'love', 'this', 'song', 'and', 'video', 'katy', 'perry', 'rocks', 'wahoo']","['katy', 'perry', 'roar', 'official', 'URL', 'love', 'song', 'video', 'katy', 'perry', 'rocks', 'wahoo']","['kati', 'perri', 'roar', 'offici', 'url', 'love', 'song', 'video', 'kati', 'perri', 'rock', 'wahoo']","['kati', 'perri', 'roar', 'offici', 'url', 'love', 'song', 'video', 'kati', 'perri', 'rock', 'wahoo']"
And somehow she has access to makeup in the middle of the woods...﻿,0,and somehow she has access to makeup in the middle of the woods...﻿,and somehow she has access to makeup in the middle of the woods,"['and', 'somehow', 'she', 'has', 'access', 'to', 'makeup', 'in', 'the', 'middle', 'of', 'the', 'woods']","['somehow', 'access', 'makeup', 'middle', 'woods']","['somehow', 'access', 'makeup', 'middl', 'wood']","['somehow', 'access', 'makeup', 'middl', 'wood']"
It looks so real and my daughter is a big fan and she likes a lot of your  songs.﻿,0,it looks so real and my daughter is a big fan and she likes a lot of your  songs.﻿,it looks so real and my daughter is a big fan and she likes a lot of your songs,"['it', 'looks', 'so', 'real', 'and', 'my', 'daughter', 'is', 'a', 'big', 'fan', 'and', 'she', 'likes', 'a', 'lot', 'of', 'your', 'songs']","['looks', 'real', 'daughter', 'big', 'fan', 'likes', 'lot', 'songs']","['look', 'real', 'daughter', 'big', 'fan', 'like', 'lot', 'song']","['look', 'real', 'daughter', 'big', 'fan', 'like', 'lot', 'song']"
"I can't comprehend why this video has nearly 700,000,000 views. Some people  found 'Gangnam Style' funny so that explains its high view count but this  is just an awful pop song. I really have no clue on this one.﻿",0,"i can't comprehend why this video has nearly 700,000,000 views. some people  found 'gangnam style' funny so that explains its high view count but this  is just an awful pop song. i really have no clue on this one.﻿",i can t comprehend why this video has nearly NUM views some people found gangnam style funny so that e lains its high view count but this is just an awful pop song i really have no clue on this one,"['i', 'can', 't', 'comprehend', 'why', 'this', 'video', 'has', 'nearly', 'NUM', 'views', 'some', 'people', 'found', 'gangnam', 'style', 'funny', 'so', 'that', 'e', 'lains', 'its', 'high', 'view', 'count', 'but', 'this', 'is', 'just', 'an', 'awful', 'pop', 'song', 'i', 'really', 'have', 'no', 'clue', 'on', 'this', 'one']","['comprehend', 'video', 'nearly', 'NUM', 'views', 'people', 'found', 'gangnam', 'style', 'funny', 'e', 'lains', 'high', 'view', 'count', 'awful', 'pop', 'song', 'really', 'clue', 'one']","['comprehend', 'video', 'near', 'num', 'view', 'peopl', 'found', 'gangnam', 'style', 'funni', 'e', 'lain', 'high', 'view', 'count', 'aw', 'pop', 'song', 'realli', 'clue', 'one']","['comprehend', 'video', 'near', 'num', 'view', 'peopl', 'found', 'gangnam', 'style', 'funni', 'e', 'lain', 'high', 'view', 'count', 'aw', 'pop', 'song', 'realli', 'clue', 'one']"
"Lets be honest, you wouldn't last 1 day on your own in the jungle. Stop  living n a fairy world.﻿",0,"lets be honest, you wouldn't last 1 day on your own in the jungle. stop  living n a fairy world.﻿",lets be honest you wouldn t last NUM day on your own in the jungle stop living n a fairy world,"['lets', 'be', 'honest', 'you', 'wouldn', 't', 'last', 'NUM', 'day', 'on', 'your', 'own', 'in', 'the', 'jungle', 'stop', 'living', 'n', 'a', 'fairy', 'world']","['lets', 'honest', 'last', 'NUM', 'day', 'jungle', 'stop', 'living', 'n', 'fairy', 'world']","['let', 'honest', 'last', 'num', 'day', 'jungl', 'stop', 'live', 'n', 'fairi', 'world']","['let', 'honest', 'last', 'num', 'day', 'jungl', 'stop', 'live', 'n', 'fairi', 'world']"
me segue ha  https://www.facebook.com/marcos.sousa4?fref=ts﻿,1,me segue ha  https://www.facebook.com/marcos.sousa4?fref=ts﻿,me segue ha URL,"['me', 'segue', 'ha', 'URL']","['segue', 'ha', 'URL']","['segu', 'ha', 'url']","['segu', 'ha', 'url']"
